fold,test_case,test_seed,model,repeat,effective_conductivity_W_mK,random_mean_k_eff_W_mK,heat_path_k_eff_W_mK,teacher_best_k_eff_W_mK,improvement_vs_random_percent,recovered_optimizer_gain_fraction,difference_vs_heat_path_percent,difference_vs_teacher_percent,outperforms_heat_path,selected_count,jaccard_with_teacher_best,inference_time_s,training_time_s,best_epoch
8,packing_seed_81647,81647,mlp,1,0.13519839218731203,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.84969343142313,0.33982737622583703,8.443744966686296,-22.734567348208756,1,50,0.2345679012345679,0.00012152804993093014,3.8697734330780804,227
8,packing_seed_81647,81647,mlp,2,0.1351624632381272,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.818374895912157,0.33923112532714117,8.414926060342198,-22.755100623483536,1,50,0.21951219512195122,0.00012446194887161255,5.213596021058038,400
8,packing_seed_81647,81647,mlp,3,0.13452778756244785,0.1147210385116395,0.1246714526770029,0.17497914338563886,17.26514099573704,0.3286985060719146,7.905847468530425,-23.117815666773346,1,50,0.2345679012345679,0.00010523805394768715,2.92409233096987,178
8,packing_seed_81647,81647,mlp,ensemble,0.1354040380163902,0.1147210385116395,0.1246714526770029,0.17497914338563886,18.02895072524313,0.3432401259216361,8.608695181561043,-22.617041439063712,1,50,0.2345679012345679,0.00035122805275022984,12.007461785105988,268.3333333333333
8,packing_seed_81647,81647,gnn,1,0.14327279047608232,0.1147210385116395,0.1246714526770029,0.17497914338563886,24.887982478946945,0.47382426022432966,14.920286400505422,-18.120075510758717,1,50,0.20481927710843373,0.0013199930544942617,9.023255323059857,89
8,packing_seed_81647,81647,gnn,2,0.14488700783365058,0.1147210385116395,0.1246714526770029,0.17497914338563886,26.295062974826934,0.5006126459683488,16.215063450830126,-17.197555645627904,1,50,0.17647058823529413,0.0013038660399615765,12.813395553035662,89
8,packing_seed_81647,81647,gnn,3,0.1450350075862021,0.1147210385116395,0.1246714526770029,0.17497914338563886,26.424071354171865,0.5030687430006235,16.333775272481056,-17.112974277992933,1,50,0.19047619047619047,0.001335797132924199,14.123925026971847,127
8,packing_seed_81647,81647,gnn,ensemble,0.13994330009878653,0.1147210385116395,0.1246714526770029,0.17497914338563886,21.98573331829452,0.4185704419328681,12.24967472012195,-20.02286821672019,1,50,0.19047619047619047,0.003959656227380037,35.960575903067365,101.66666666666667
9,packing_seed_90439,90439,mlp,1,0.13736160825692703,0.11402077433575278,0.12368911851993511,0.17333630015570636,20.470685326555802,0.3935029420800053,11.053914766793582,-20.754274705565777,1,50,0.17647058823529413,0.00010938290506601334,4.167587348027155,271
9,packing_seed_90439,90439,mlp,2,0.1363973101498335,0.11402077433575278,0.12368911851993511,0.17333630015570636,19.624963910689953,0.37724584760493374,10.274300425101824,-21.310591014513935,1,50,0.19047619047619047,0.00012012198567390442,2.8597121429629624,162
